"freq","word_input","word_pred"
78330,"in","the"
73949,"for","the"
56868,"of","the"
48463,"on","the"
46986,"to","be"
43399,"to","the"
42962,"thanks","for"
37226,"at","the"
35871,"i","love"
34268,"going","to"
33746,"have","a"
33277,"thank","you"
33236,"if","you"
31558,"i","have"
29816,"i","am"
29702,"for","a"
26983,"to","get"
26927,"to","see"
26775,"is","a"
25760,"will","be"
25550,"i","was"
25183,"i","think"
25044,"want","to"
24362,"i","don't"
24094,"is","the"
23747,"a","great"
23535,"i","just"
23385,"you","are"
23316,"are","you"
23257,"in","a"
22184,"have","to"
22113,"and","i"
20821,"it","was"
20657,"need","to"
19938,"i","know"
19719,"do","you"
19503,"i","can"
19049,"but","i"
19041,"you","have"
19029,"the","best"
18528,"with","the"
18480,"all","the"
18238,"so","much"
17906,"to","do"
17689,"it","is"
17684,"a","good"
17661,"to","go"
16944,"in","my"
16914,"be","a"
16795,"on","my"
16378,"right","now"
16019,"you","can"
15854,"i","will"
15759,"you","know"
15696,"of","my"
15598,"one","of"
15576,"this","is"
15390,"out","of"
15347,"i","need"
15342,"love","you"
15210,"i","want"
15129,"we","are"
15074,"and","the"
14973,"like","a"
14473,"can't","wait"
14244,"i","can't"
14210,"when","i"
13923,"with","a"
13889,"go","to"
13681,"when","you"
13533,"on","a"
13190,"see","you"
13105,"had","a"
13011,"if","i"
12747,"the","same"
12223,"follow","me"
12159,"of","a"
12098,"a","lot"
12049,"from","the"
11815,"for","you"
11631,"forward","to"
11572,"last","night"
11499,"that","i"
11360,"was","a"
11304,"i","got"
11278,"would","be"
11237,"i","hope"
11226,"to","my"
11205,"i","would"
11165,"to","make"
11141,"to","me"
11139,"to","have"
11099,"trying","to"
10960,"to","you"
10910,"time","to"
10810,"the","world"
10696,"way","to"
10631,"so","i"
10621,"i","hate"
10569,"you","for"
10509,"back","to"
10469,"a","new"
10366,"i","get"
10343,"did","you"
10316,"for","me"
10189,"to","a"
10178,"the","new"
10145,"with","my"
10026,"i","had"
9963,"get","a"
9929,"that","is"
9912,"we","have"
9850,"i","like"
9832,"i","feel"
9722,"the","first"
9644,"a","little"
9584,"i'm","not"
9557,"what","you"
9532,"about","the"
9519,"you","guys"
9365,"and","a"
9307,"the","day"
9184,"should","be"
9166,"wait","to"
9038,"i","could"
9018,"looking","forward"
8881,"is","not"
8872,"as","a"
8839,"is","it"
8767,"a","few"
8724,"i","do"
8654,"i","wish"
8637,"check","out"
8626,"for","my"
8494,"all","of"
8390,"happy","birthday"
8377,"the","follow"
8341,"they","are"
8318,"hope","you"
8314,"with","you"
8147,"me","to"
8124,"the","only"
8117,"it's","a"
8107,"you","and"
8094,"you","want"
8091,"let","me"
8080,"the","way"
8074,"in","your"
8059,"by","the"
7995,"do","it"
7969,"to","all"
7965,"for","your"
7964,"there","is"
7879,"good","morning"
7812,"to","hear"
7794,"i","miss"
7794,"you","don't"
7791,"got","a"
7757,"you","to"
7727,"we","can"
7714,"what","i"
7705,"that","was"
7672,"this","weekend"
7620,"be","the"
7583,"how","to"
7577,"at","least"
7554,"what","a"
7527,"of","your"
7516,"make","it"
7511,"the","most"
7443,"love","to"
7426,"is","so"
7418,"looking","for"
7418,"i","really"
7382,"don't","know"
7333,"this","week"
7313,"have","you"
7303,"my","life"
7266,"like","the"
7215,"know","what"
7191,"just","got"
7189,"on","twitter"
7163,"this","morning"
7142,"on","your"
7127,"not","a"
7100,"to","work"
7088,"to","say"
7070,"you","should"
7042,"are","the"
7002,"wish","i"
6999,"like","to"
6996,"is","that"
6995,"have","been"
6988,"of","you"
6983,"you","think"
6961,"you","get"
6927,"what","is"
6908,"about","to"
6880,"need","a"
6877,"is","going"
6875,"ready","for"
6872,"love","it"
6832,"feel","like"
6831,"that","you"
6822,"me","and"
6815,"up","to"
6748,"out","to"
6699,"such","a"
6678,"get","to"
6664,"thanks","to"
6609,"lot","of"
6601,"it","to"
6542,"you","do"
6542,"i","thought"
6447,"the","next"
6427,"and","you"
6425,"i'll","be"
6420,"listening","to"
6411,"the","last"
6411,"good","luck"
6396,"love","the"
6396,"i","guess"
6389,"has","been"
6268,"i","didn't"
6263,"looks","like"
6248,"ready","to"
6138,"i","see"
6133,"me","i"
6113,"have","the"
6111,"be","in"
6052,"can","you"
6047,"me","a"
6012,"i'm","going"
6011,"you","need"
6006,"more","than"
5999,"get","it"
5983,"you","were"
5976,"kind","of"
5927,"this","year"
5869,"to","come"
5846,"as","well"
5841,"part","of"
5831,"to","take"
5821,"to","your"
5820,"is","my"
5820,"it","out"
5810,"has","a"
5804,"miss","you"
5771,"of","our"
5768,"to","know"
5761,"we","will"
5751,"gonna","be"
5751,"up","with"
5750,"i'm","so"
5745,"out","the"
5697,"you","too"
5674,"the","time"
5653,"think","i"
5644,"to","watch"
5585,"of","course"
5561,"you","in"
5539,"he","is"
5521,"now","i"
5516,"i've","been"
5464,"to","start"
5440,"with","me"
5395,"can","i"
5393,"for","all"
5389,"see","the"
