"freq","word_input","word_pred"
1112,"the only","thing"
1112,"to see","it"
1111,"the way","to"
1109,"so much","fun"
1109,"way to","go"
1108,"keep up","the"
1108,"that awkward","moment"
1107,"so we","can"
1106,"you will","be"
1105,"follow me","back"
1104,"see you","at"
1103,"you in","the"
1103,"no matter","what"
1102,"so proud","of"
1102,"in a","while"
1099,"for a","while"
1096,"give me","a"
1094,"i don't","even"
1093,"looks like","a"
1090,"what kind","of"
1090,"a part","of"
1085,"the middle","of"
1085,"as soon","as"
1083,"great to","see"
1082,"i see","you"
1075,"i think","it"
1073,"a good","time"
1069,"what is","your"
1068,"i would","have"
1068,"follow me","please"
1067,"i'd like","to"
1066,"going to","get"
1064,"so excited","to"
1064,"but i","think"
1055,"day to","all"
1055,"i just","saw"
1053,"want to","do"
1050,"if i","can"
1046,"for following","me"
1045,"of the","week"
1045,"excited to","see"
1042,"is gonna","be"
1042,"to watch","the"
1039,"and i","love"
1038,"should be","a"
1037,"i can","do"
1036,"go to","bed"
1035,"i don't","care"
1034,"i wanted","to"
1034,"see you","in"
1029,"do you","want"
1027,"i'm not","sure"
1026,"to follow","me"
1026,"why am","i"
1023,"know what","you"
1022,"i went","to"
1021,"for the","shout"
1020,"miss you","too"
1019,"going to","have"
1019,"cant wait","to"
1018,"will be","in"
1018,"it's time","to"
1015,"moment when","you"
1015,"i like","it"
1013,"am going","to"
1010,"hope all","is"
1007,"thanks for","all"
1006,"i love","this"
1005,"i'd love","to"
1003,"to see","what"
1000,"i thought","it"
1000,"is such","a"
998,"a good","one"
997,"be on","the"
993,"i didn't","know"
993,"to figure","out"
990,"what you","think"
990,"cinco de","mayo"
989,"thx for","the"
987,"when you","get"
986,"will be","the"
986,"i like","to"
983,"hope you","are"
982,"to listen","to"
982,"a beautiful","day"
981,"used to","be"
981,"get back","to"
979,"by the","way"
977,"i love","u"
975,"make sure","to"
974,"my best","friend"
974,"it to","the"
972,"follow me","i"
972,"how much","i"
971,"see you","soon"
971,"you are","so"
970,"to all","my"
969,"but i","have"
968,"you at","the"
966,"all of","you"
965,"it was","great"
965,"a little","bit"
965,"so excited","for"
964,"supposed to","be"
960,"want to","get"
959,"is on","the"
955,"one of","our"
954,"in a","row"
952,"we love","you"
949,"i would","be"
946,"and i","am"
945,"going to","see"
943,"a way","to"
942,"i love","how"
941,"love you","so"
940,"i'm pretty","sure"
940,"has to","be"
939,"is the","only"
939,"out to","the"
938,"to everyone","who"
938,"to talk","about"
938,"you for","your"
935,"i thought","i"
935,"i would","like"
935,"be at","the"
934,"forward to","it"
933,"you follow","me"
933,"for the","day"
931,"it's been","a"
928,"the shout","out"
927,"i'm trying","to"
923,"have to","get"
921,"needs to","be"
919,"i'm about","to"
917,"feel like","i"
914,"we had","a"
913,"there will","be"
912,"don't know","how"
912,"want to","know"
912,"i guess","i"
910,"on the","radio"
907,"ready to","go"
907,"congrats on","the"
906,"will have","to"
903,"to find","out"
903,"in the","same"
903,"glad to","hear"
902,"stay tuned","for"
900,"what did","you"
900,"why are","you"
897,"it looks","like"
897,"of the","world"
896,"oh my","god"
896,"i go","to"
891,"and i","are"
